timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725199260,245,1171,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",3,6141546989
1725199380,245,1173,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6143057628
1725199380,245,1173,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6144101844
1725199440,245,1174,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6144323375
1725199560,245,1176,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6142797781
1725199560,245,1176,21,"Swaad, Sector 4, Delhi NCR",2,6134811002
1725199980,245,1183,18,"Swaad, DLF Phase 1, Delhi NCR",1,6143711389
1725199980,245,1183,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6143359764
1725200340,245,1189,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6143745233
1725200760,245,1196,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6143853978
1725201120,245,1202,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6139795100
1725201300,245,1205,20,"Swaad, Sector 135, Delhi NCR",1,6137596376
1725201420,245,1207,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6139838375
1725201540,245,1209,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6142788045
1725202020,245,1217,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",2,6139495038
1725202140,245,1219,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6130413070
1725202140,245,1219,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6143338997
1725202140,245,1219,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6143164180
1725202380,245,1223,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6133713890
1725202500,245,1225,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6137984994
1725202560,245,1226,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6141520327
1725202620,245,1227,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6135654753
1725202680,245,1228,2,"Aura Pizzas, Sector 135, Delhi NCR",4,6141030392
1725202680,245,1228,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",3,6143166291
1725202920,245,1232,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6129239557
1725203100,245,1235,21,"Swaad, Sector 4, Delhi NCR",3,6144589662
1725203100,245,1235,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6144428089
1725203100,245,1235,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6141722287
